"Input.name","Standardized.name","Formula","Exact.mass","Super.class","Main.class","Sub.class","PubChem_CID","ChEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","RefMet_ID"
"CAR 2:0","CAR 2:0","C9H17NO4","203.1158","Fatty Acyls","Fatty esters","Acyl carnitines","18230","86045","HMDB0240771","LMFA07070049",NA,"RDHQFKQIGNGIED-QMMMGPOBSA-N","RM0154009"
"CAR 2:0","CAR 2:0","C9H17NO4","203.1158","Fatty Acyls","Fatty esters","Acyl carnitines","18230","86045","HMDB0240771","LMFA07070049",NA,"RDHQFKQIGNGIED-QMMMGPOBSA-N","RM0154009"
"Acetylcholine","Acetylcholine","C7H16NO2","146.1181","Organic nitrogen compounds","Cholines","Acyl cholines","187","15355","HMDB0000895",NA,"C01996","OIPILFWXSMYKGL-UHFFFAOYSA-N","RM0041817"
"Acetylcholine","Acetylcholine","C7H16NO2","146.1181","Organic nitrogen compounds","Cholines","Acyl cholines","187","15355","HMDB0000895",NA,"C01996","OIPILFWXSMYKGL-UHFFFAOYSA-N","RM0041817"
"Acetylcholine","Acetylcholine","C7H16NO2","146.1181","Organic nitrogen compounds","Cholines","Acyl cholines","187","15355","HMDB0000895",NA,"C01996","OIPILFWXSMYKGL-UHFFFAOYSA-N","RM0041817"
"Adenosine","Adenosine","C10H13N5O4","267.0968","Nucleic acids","Purines","Purine ribonucleosides","60961","16335","HMDB0000050",NA,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N","RM0135870"
"Adenosine","Adenosine","C10H13N5O4","267.0968","Nucleic acids","Purines","Purine ribonucleosides","60961","16335","HMDB0000050",NA,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N","RM0135870"
"Adenosine","Adenosine","C10H13N5O4","267.0968","Nucleic acids","Purines","Purine ribonucleosides","60961","16335","HMDB0000050",NA,"C00212","OIRDTQYFTABQOQ-KQYNXXCUSA-N","RM0135870"
"ADP","ADP","C10H15N5O10P2","427.0294","Nucleic acids","Purines","Purine rNDP","6022","16761","HMDB0001341",NA,"C00008","XTWYTFMLZFPYCI-KQYNXXCUSA-N","RM0032913"
"Adipic acid","Adipic acid","C6H10O4","146.0579","Fatty Acyls","Fatty acids","Dicarboxylic acids","196","30832","HMDB0000448","LMFA01170048","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","RM0149937"
"Adipic acid","Adipic acid","C6H10O4","146.0579","Fatty Acyls","Fatty acids","Dicarboxylic acids","196","30832","HMDB0000448","LMFA01170048","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","RM0149937"
"Adipic acid","Adipic acid","C6H10O4","146.0579","Fatty Acyls","Fatty acids","Dicarboxylic acids","196","30832","HMDB0000448","LMFA01170048","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","RM0149937"
"Allantoin","Allantoin","C4H6N4O3","158.044","Organoheterocyclic compounds","Cyclic ureas","Ureides","439714","15678","HMDB0000462",NA,NA,"POJWUDADGALRAB-SFOWXEAESA-N","RM0118303"
"Allantoin","Allantoin","C4H6N4O3","158.044","Organoheterocyclic compounds","Cyclic ureas","Ureides","439714","15678","HMDB0000462",NA,NA,"POJWUDADGALRAB-SFOWXEAESA-N","RM0118303"
"Allantoin","Allantoin","C4H6N4O3","158.044","Organoheterocyclic compounds","Cyclic ureas","Ureides","439714","15678","HMDB0000462",NA,NA,"POJWUDADGALRAB-SFOWXEAESA-N","RM0118303"
"alpha-D-glucopyranose 6-(dihydrogen phosphate)","alpha-D-glucose 6-phosphate","C6H13O9P","260.029719","Organic oxygen compounds [C0004603]","Organooxygen compounds [C0000323]","Carbohydrates and carbohydrate conjugates [C0000011]","439284","17665",NA,NA,NA,"NBSCHQHZLSJFNQ-DVKNGEFBSA-N","50994"
"alpha-D-glucopyranose 6-(dihydrogen phosphate)","alpha-D-glucose 6-phosphate","C6H13O9P","260.029719","Organic oxygen compounds [C0004603]","Organooxygen compounds [C0000323]","Carbohydrates and carbohydrate conjugates [C0000011]","439284","17665",NA,NA,NA,"NBSCHQHZLSJFNQ-DVKNGEFBSA-N","50994"
"alpha-D-glucopyranose 6-(dihydrogen phosphate)","alpha-D-glucose 6-phosphate","C6H13O9P","260.029719","Organic oxygen compounds [C0004603]","Organooxygen compounds [C0000323]","Carbohydrates and carbohydrate conjugates [C0000011]","439284","17665",NA,NA,NA,"NBSCHQHZLSJFNQ-DVKNGEFBSA-N","50994"
"2-Oxoglutaric acid","2-Oxoglutaric acid","C5H6O5","146.0215","Organic acids","TCA acids","TCA acids","51","30915","HMDB0000208",NA,"C00026","KPGXRSRHYNQIFN-UHFFFAOYSA-N","RM0135911"
"2-Oxoglutaric acid","2-Oxoglutaric acid","C5H6O5","146.0215","Organic acids","TCA acids","TCA acids","51","30915","HMDB0000208",NA,"C00026","KPGXRSRHYNQIFN-UHFFFAOYSA-N","RM0135911"
"2-Oxoglutaric acid","2-Oxoglutaric acid","C5H6O5","146.0215","Organic acids","TCA acids","TCA acids","51","30915","HMDB0000208",NA,"C00026","KPGXRSRHYNQIFN-UHFFFAOYSA-N","RM0135911"
"Azelaic acid","Azelaic acid","C9H16O4","188.1049","Fatty Acyls","Fatty acids","Dicarboxylic acids","2266","48131","HMDB0000784","LMFA01170054","C08261","BDJRBEYXGGNYIS-UHFFFAOYSA-N","RM0153048"
"Azelaic acid","Azelaic acid","C9H16O4","188.1049","Fatty Acyls","Fatty acids","Dicarboxylic acids","2266","48131","HMDB0000784","LMFA01170054","C08261","BDJRBEYXGGNYIS-UHFFFAOYSA-N","RM0153048"
"Azelaic acid","Azelaic acid","C9H16O4","188.1049","Fatty Acyls","Fatty acids","Dicarboxylic acids","2266","48131","HMDB0000784","LMFA01170054","C08261","BDJRBEYXGGNYIS-UHFFFAOYSA-N","RM0153048"
"Benzoic acid","Benzoic acid","C7H6O2","122.0368","Benzenoids","Benzenes","Benzoic acids","243","30746","HMDB0001870",NA,"C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N","RM0134993"
"Benzoic acid","Benzoic acid","C7H6O2","122.0368","Benzenoids","Benzenes","Benzoic acids","243","30746","HMDB0001870",NA,"C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N","RM0134993"
"Benzoic acid","Benzoic acid","C7H6O2","122.0368","Benzenoids","Benzenes","Benzoic acids","243","30746","HMDB0001870",NA,"C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N","RM0134993"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","C5H10O3","118.063","Fatty Acyls","Fatty acids","Hydroxy FA","69362","37084","HMDB0000754","LMFA01050396",NA,"AXFYFNCPONWUHW-UHFFFAOYSA-N","RM0152879"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","C5H10O3","118.063","Fatty Acyls","Fatty acids","Hydroxy FA","69362","37084","HMDB0000754","LMFA01050396",NA,"AXFYFNCPONWUHW-UHFFFAOYSA-N","RM0152879"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","C5H10O3","118.063","Fatty Acyls","Fatty acids","Hydroxy FA","69362","37084","HMDB0000754","LMFA01050396",NA,"AXFYFNCPONWUHW-UHFFFAOYSA-N","RM0152879"
"Putrescine","Putrescine","C4H12N2","88.1","Fatty Acyls","Fatty amines","Monoalkylamines","1045","17148","HMDB0001414",NA,"C00134","KIDHWZJUCRJVML-UHFFFAOYSA-N","RM0139715"
"Putrescine","Putrescine","C4H12N2","88.1","Fatty Acyls","Fatty amines","Monoalkylamines","1045","17148","HMDB0001414",NA,"C00134","KIDHWZJUCRJVML-UHFFFAOYSA-N","RM0139715"
"Putrescine","Putrescine","C4H12N2","88.1","Fatty Acyls","Fatty amines","Monoalkylamines","1045","17148","HMDB0001414",NA,"C00134","KIDHWZJUCRJVML-UHFFFAOYSA-N","RM0139715"
"Butyric acid","Butyric acid","C4H8O2","88.0524","Fatty Acyls","Fatty acids","Saturated FA","264","30772","HMDB0000039","LMFA01010004","C00246","FERIUCNNQQJTOY-UHFFFAOYSA-N","RM0153517"
"Butyric acid","Butyric acid","C4H8O2","88.0524","Fatty Acyls","Fatty acids","Saturated FA","264","30772","HMDB0000039","LMFA01010004","C00246","FERIUCNNQQJTOY-UHFFFAOYSA-N","RM0153517"
"Butyric acid","Butyric acid","C4H8O2","88.0524","Fatty Acyls","Fatty acids","Saturated FA","264","30772","HMDB0000039","LMFA01010004","C00246","FERIUCNNQQJTOY-UHFFFAOYSA-N","RM0153517"
"CDP","CDP","C9H15N3O11P2","403.0182","Nucleic acids","Pyrimidines","Pyrimidine rNDP","6132","17239","HMDB0001546",NA,"C00112","ZWIADYZPOWUWEW-XVFCMESISA-N","RM0138946"
"CDP","CDP","C9H15N3O11P2","403.0182","Nucleic acids","Pyrimidines","Pyrimidine rNDP","6132","17239","HMDB0001546",NA,"C00112","ZWIADYZPOWUWEW-XVFCMESISA-N","RM0138946"
"CDP","CDP","C9H15N3O11P2","403.0182","Nucleic acids","Pyrimidines","Pyrimidine rNDP","6132","17239","HMDB0001546",NA,"C00112","ZWIADYZPOWUWEW-XVFCMESISA-N","RM0138946"
"(2E)-2-cyano-3-(4-hydroxyphenyl)prop-2-enoic acid","alpha-cyano-4-hydroxycinnamic acid","C10H7NO3","189.042593","Phenylpropanoids and polyketides [C0000261]","Cinnamic acids and derivatives [C0000476]","Hydroxycinnamic acids and derivatives [C0001391]","5328791","64340",NA,NA,NA,"AFVLVVWMAFSXCK-VMPITWQZSA-N","63334"
"(2E)-2-cyano-3-(4-hydroxyphenyl)prop-2-enoic acid","alpha-cyano-4-hydroxycinnamic acid","C10H7NO3","189.042593","Phenylpropanoids and polyketides [C0000261]","Cinnamic acids and derivatives [C0000476]","Hydroxycinnamic acids and derivatives [C0001391]","5328791","64340",NA,NA,NA,"AFVLVVWMAFSXCK-VMPITWQZSA-N","63334"
"(2E)-2-cyano-3-(4-hydroxyphenyl)prop-2-enoic acid","alpha-cyano-4-hydroxycinnamic acid","C10H7NO3","189.042593","Phenylpropanoids and polyketides [C0000261]","Cinnamic acids and derivatives [C0000476]","Hydroxycinnamic acids and derivatives [C0001391]","5328791","64340",NA,NA,NA,"AFVLVVWMAFSXCK-VMPITWQZSA-N","63334"
"Chlorogenic acid","Chlorogenic acid","C16H18O9","354.0951","Organic acids","Phenylpropanoids","Cinnamic acids","1794427","16112","HMDB0003164",NA,"C00852","CWVRJTMFETXNAD-JUHZACGLSA-N","RM0136210"
"Chlorogenic acid","Chlorogenic acid","C16H18O9","354.0951","Organic acids","Phenylpropanoids","Cinnamic acids","1794427","16112","HMDB0003164",NA,"C00852","CWVRJTMFETXNAD-JUHZACGLSA-N","RM0136210"
"Chlorogenic acid","Chlorogenic acid","C16H18O9","354.0951","Organic acids","Phenylpropanoids","Cinnamic acids","1794427","16112","HMDB0003164",NA,"C00852","CWVRJTMFETXNAD-JUHZACGLSA-N","RM0136210"
"Cholic acid","Cholic acid","C24H40O5","408.2876","Sterol Lipids","Bile acids","C24 Bile acids","221493","16359","HMDB0000619","LMST04010001","C00695","BHQCQFFYRZLCQQ-OELDTZBJSA-N","RM0135798"
"Cholic acid","Cholic acid","C24H40O5","408.2876","Sterol Lipids","Bile acids","C24 Bile acids","221493","16359","HMDB0000619","LMST04010001","C00695","BHQCQFFYRZLCQQ-OELDTZBJSA-N","RM0135798"
"Cholic acid","Cholic acid","C24H40O5","408.2876","Sterol Lipids","Bile acids","C24 Bile acids","221493","16359","HMDB0000619","LMST04010001","C00695","BHQCQFFYRZLCQQ-OELDTZBJSA-N","RM0135798"
"Cholesterol","Cholesterol","C27H46O","386.3549","Sterol Lipids","Sterols","Cholesterols","5997","16113","HMDB0000067","LMST01010001","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","RM0135639"
"Cholesterol","Cholesterol","C27H46O","386.3549","Sterol Lipids","Sterols","Cholesterols","5997","16113","HMDB0000067","LMST01010001","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","RM0135639"
"Cholesterol","Cholesterol","C27H46O","386.3549","Sterol Lipids","Sterols","Cholesterols","5997","16113","HMDB0000067","LMST01010001","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","RM0135639"
"Ciliatine","Ciliatine","C2H8NO3P","125.0242","Organic acids","Organic phosphonic acids","Organic phosphonic acids","339","15573","HMDB0011747",NA,"C03557","QQVDJLLNRSOCEL-UHFFFAOYSA-N","RM0043084"
"Ciliatine","Ciliatine","C2H8NO3P","125.0242","Organic acids","Organic phosphonic acids","Organic phosphonic acids","339","15573","HMDB0011747",NA,"C03557","QQVDJLLNRSOCEL-UHFFFAOYSA-N","RM0043084"
"Ciliatine","Ciliatine","C2H8NO3P","125.0242","Organic acids","Organic phosphonic acids","Organic phosphonic acids","339","15573","HMDB0011747",NA,"C03557","QQVDJLLNRSOCEL-UHFFFAOYSA-N","RM0043084"
"Citrulline","Citrulline","C6H13N3O3","175.0957","Organic acids","Amino acids and peptides","Amino acids","9750","16349","HMDB0000904",NA,"C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N","RM0136022"
"Citrulline","Citrulline","C6H13N3O3","175.0957","Organic acids","Amino acids and peptides","Amino acids","9750","16349","HMDB0000904",NA,"C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N","RM0136022"
"Citrulline","Citrulline","C6H13N3O3","175.0957","Organic acids","Amino acids and peptides","Amino acids","9750","16349","HMDB0000904",NA,"C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N","RM0136022"
"S-Glutathionyl-cysteine","S-Glutathionyl-cysteine","C13H22N4O8S2","426.0879","Organic acids","Amino acids and peptides","Oligopeptides","10455148","21264","HMDB0000656",NA,"C05526","BNRXZEPOHPEEAS-FXQIFTODSA-N","RM0160927"
"S-Glutathionyl-cysteine","S-Glutathionyl-cysteine","C13H22N4O8S2","426.0879","Organic acids","Amino acids and peptides","Oligopeptides","10455148","21264","HMDB0000656",NA,"C05526","BNRXZEPOHPEEAS-FXQIFTODSA-N","RM0160927"
"Cytidine","Cytidine","C9H13N3O5","243.0855","Nucleic acids","Pyrimidines","Pyrimidine ribonucleosides","6175","17562","HMDB0000089",NA,"C00475","UHDGCWIWMRVCDJ-XVFCMESISA-N","RM0138922"
"Cytidine","Cytidine","C9H13N3O5","243.0855","Nucleic acids","Pyrimidines","Pyrimidine ribonucleosides","6175","17562","HMDB0000089",NA,"C00475","UHDGCWIWMRVCDJ-XVFCMESISA-N","RM0138922"
"Cytidine","Cytidine","C9H13N3O5","243.0855","Nucleic acids","Pyrimidines","Pyrimidine ribonucleosides","6175","17562","HMDB0000089",NA,"C00475","UHDGCWIWMRVCDJ-XVFCMESISA-N","RM0138922"
"CMP","CMP","C9H14N3O8P","323.0519","Nucleic acids","Pyrimidines","Pyrimidine rNMP","6131","17361","HMDB0000095",NA,"C00055","IERHLVCPSMICTF-XVFCMESISA-N","RM0138923"
"CMP","CMP","C9H14N3O8P","323.0519","Nucleic acids","Pyrimidines","Pyrimidine rNMP","6131","17361","HMDB0000095",NA,"C00055","IERHLVCPSMICTF-XVFCMESISA-N","RM0138923"
"CMP","CMP","C9H14N3O8P","323.0519","Nucleic acids","Pyrimidines","Pyrimidine rNMP","6131","17361","HMDB0000095",NA,"C00055","IERHLVCPSMICTF-XVFCMESISA-N","RM0138923"
"Cytosine","Cytosine","C4H5N3O","111.0433","Nucleic acids","Pyrimidines","Pyrimidones","597","16040","HMDB0000630",NA,"C00380","OPTASPLRGRRNAP-UHFFFAOYSA-N","RM0050550"
"Cytosine","Cytosine","C4H5N3O","111.0433","Nucleic acids","Pyrimidines","Pyrimidones","597","16040","HMDB0000630",NA,"C00380","OPTASPLRGRRNAP-UHFFFAOYSA-N","RM0050550"
"Cytosine","Cytosine","C4H5N3O","111.0433","Nucleic acids","Pyrimidines","Pyrimidones","597","16040","HMDB0000630",NA,"C00380","OPTASPLRGRRNAP-UHFFFAOYSA-N","RM0050550"
"Quinic acid","Quinic acid","C7H12O6","192.0634","Benzenoids","Benzenes","Hydroxybenzoic acids","6508","17521","HMDB0003072",NA,"C00296","AAWZDTNXLSGCEK-WYWMIBKRSA-N","RM0071875"
"Quinic acid","Quinic acid","C7H12O6","192.0634","Benzenoids","Benzenes","Hydroxybenzoic acids","6508","17521","HMDB0003072",NA,"C00296","AAWZDTNXLSGCEK-WYWMIBKRSA-N","RM0071875"
"Quinic acid","Quinic acid","C7H12O6","192.0634","Benzenoids","Benzenes","Hydroxybenzoic acids","6508","17521","HMDB0003072",NA,"C00296","AAWZDTNXLSGCEK-WYWMIBKRSA-N","RM0071875"
"Daidzein","Daidzein","C15H10O4","254.0579","Polyketides","Flavonoids","Isoflavonoids","5281708","28197","HMDB0003312","LMPK12050038","C10208","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","RM0040198"
"Daidzein","Daidzein","C15H10O4","254.0579","Polyketides","Flavonoids","Isoflavonoids","5281708","28197","HMDB0003312","LMPK12050038","C10208","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","RM0040198"
"Daidzein","Daidzein","C15H10O4","254.0579","Polyketides","Flavonoids","Isoflavonoids","5281708","28197","HMDB0003312","LMPK12050038","C10208","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","RM0040198"
"D-Alanyl-D-Alanine","D-Alanyl-D-Alanine","C6H12N2O3","160.0848","Organic acids","Amino acids and peptides","Dipeptides","6992112","16576","HMDB0003459",NA,NA,"DEFJQIDDEAULHB-QWWZWVQMSA-N","RM0129825"
"D-Alanyl-D-Alanine","D-Alanyl-D-Alanine","C6H12N2O3","160.0848","Organic acids","Amino acids and peptides","Dipeptides","6992112","16576","HMDB0003459",NA,NA,"DEFJQIDDEAULHB-QWWZWVQMSA-N","RM0129825"
"D-Alanyl-D-Alanine","D-Alanyl-D-Alanine","C6H12N2O3","160.0848","Organic acids","Amino acids and peptides","Dipeptides","6992112","16576","HMDB0003459",NA,NA,"DEFJQIDDEAULHB-QWWZWVQMSA-N","RM0129825"
"dCMP","dCMP","C9H14N3O7P","307.0569","Nucleic acids","Pyrimidines","Pyrimidine dNMP","13945","15918","HMDB0001202",NA,"C00239","NCMVOABPESMRCP-SHYZEUOFSA-N","RM0136074"
"dCMP","dCMP","C9H14N3O7P","307.0569","Nucleic acids","Pyrimidines","Pyrimidine dNMP","13945","15918","HMDB0001202",NA,"C00239","NCMVOABPESMRCP-SHYZEUOFSA-N","RM0136074"
"dCMP","dCMP","C9H14N3O7P","307.0569","Nucleic acids","Pyrimidines","Pyrimidine dNMP","13945","15918","HMDB0001202",NA,"C00239","NCMVOABPESMRCP-SHYZEUOFSA-N","RM0136074"
"D-glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","C3H7O6P","169.998","Organic acids","Short-chain acids","Short-chain acids","439168","29052","HMDB0001112",NA,"C00118","LXJXRIRHZLFYRP-VKHMYHEASA-N","RM0118150"
"D-glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","C3H7O6P","169.998","Organic acids","Short-chain acids","Short-chain acids","439168","29052","HMDB0001112",NA,"C00118","LXJXRIRHZLFYRP-VKHMYHEASA-N","RM0118150"
"D-glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","C3H7O6P","169.998","Organic acids","Short-chain acids","Short-chain acids","439168","29052","HMDB0001112",NA,"C00118","LXJXRIRHZLFYRP-VKHMYHEASA-N","RM0118150"
"Dopamine","Dopamine","C8H11NO2","153.079","Alkaloids","Tyrosine alkaloids","Phenylethylamines","681","18243","HMDB0000073",NA,"C03758","VYFYYTLLBUKUHU-UHFFFAOYSA-N","RM0135878"
"Dopamine","Dopamine","C8H11NO2","153.079","Alkaloids","Tyrosine alkaloids","Phenylethylamines","681","18243","HMDB0000073",NA,"C03758","VYFYYTLLBUKUHU-UHFFFAOYSA-N","RM0135878"
"Dopamine","Dopamine","C8H11NO2","153.079","Alkaloids","Tyrosine alkaloids","Phenylethylamines","681","18243","HMDB0000073",NA,"C03758","VYFYYTLLBUKUHU-UHFFFAOYSA-N","RM0135878"
"(-)-Epicatechin","Epicatechin","C15H14O6","290.079","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","72276","90","HMDB0001871","LMPK12020003","C09727","PFTAWBLQPZVEMU-UKRRQHHQSA-N","RM0040205"
"(-)-Epicatechin","Epicatechin","C15H14O6","290.079","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","72276","90","HMDB0001871","LMPK12020003","C09727","PFTAWBLQPZVEMU-UKRRQHHQSA-N","RM0040205"
"(-)-Epicatechin","Epicatechin","C15H14O6","290.079","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","72276","90","HMDB0001871","LMPK12020003","C09727","PFTAWBLQPZVEMU-UKRRQHHQSA-N","RM0040205"
"(-)-Epicatechin 3-O-gallate","Epicatechin 3-gallate","C22H18O10","442.09","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","107905","70255","HMDB0037944","LMPK12020090",NA,"LSHVYAFMTMFKBA-TZIWHRDSSA-N","RM0135189"
"Epigallocatechin","Epigallocatechin","C15H14O7","306.074","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","72277","42255","HMDB0038361","LMPK12020004","C12136","XMOCLSLCDHWDHP-IUODEOHRSA-N","RM0135186"
"Epigallocatechin","Epigallocatechin","C15H14O7","306.074","Polyketides","Flavonoids","Flavans, Flavanols and Leucoanthocyanidins","72277","42255","HMDB0038361","LMPK12020004","C12136","XMOCLSLCDHWDHP-IUODEOHRSA-N","RM0135186"
